netflix_id,imdb_id,year,title,summary_text,director,actor_1,actor_2,actor_3,genre_1,genre_2,genre_3,summary_text_new,descriptor_1,descriptor_2,descriptor_3
1905.0,tt0325980,2003,Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Action,Adventure,Fantasy,blacksmith will turner teams up with eccentric pirate captain jack sparrow to save his love the governor s daughter from jack s former pirate allies who are now undead ,pirate,jack,undead
2152.0,tt0207201,2000,What Women Want,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.",Nancy Meyers,Mel Gibson,Helen Hunt,Marisa Tomei,Comedy,Fantasy,Romance,after an accident a chauvinistic executive gains the ability to hear what women are really thinking ,thinking,really,hear
3860.0,tt0315327,2003,Bruce Almighty,A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.,Tom Shadyac,Jim Carrey,Jennifer Aniston,Morgan Freeman,Comedy,Drama,Fantasy,a guy who complains about god too often is given almighty powers to teach him how difficult it is to run the world ,powers,guy,complains
4432.0,tt0317740,2003,The Italian Job,"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.",F. Gary Gray,Donald Sutherland,Mark Wahlberg,Edward Norton,Action,Crime,Thriller,after being betrayed and left for dead in italy charlie croker and his team plan an elaborate gold heist against their former ally ,elaborate,croker,charlie
571.0,tt0169547,1999,American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,Drama,,nan,a sexually frustrated suburban father has a mid life crisis after becoming infatuated with his daughter s best friend ,sexually,mid,infatuated
3938.0,tt0298148,2004,Shrek 2,Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.,,Mike Myers,Eddie Murphy,Cameron Diaz,Animation,Adventure,Comedy,princess fiona s parents invite her and shrek to dinner to celebrate her marriage if only they knew the newlyweds were both ogres ,shrek,ogres,knew
4306.0,tt0167404,1999,The Sixth Sense,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Drama,Mystery,Thriller,a boy who communicates with spirits seeks the help of a disheartened child psychologist ,disheartened,communicates,spirits
1962.0,tt0343660,2004,50 First Dates,"Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the next day.",Peter Segal,Adam Sandler,Drew Barrymore,Rob Schneider,Comedy,Drama,Romance,henry roth is a man afraid of commitment up until he meets the beautiful lucy they hit it off and henry think he s finally found the girl of his dreams until he discovers she has short term memory loss and forgets him the next day ,henry,think,roth
1145.0,tt0209475,2001,The Wedding Planner,Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.,Adam Shankman,Jennifer Lopez,Matthew McConaughey,Bridgette Wilson-Sampras,Comedy,Romance,,mary fiore is san francisco s most successful supplier of romance and glamor she knows all the tricks she knows all the rules but then she breaks the most important rule of all she falls in love with the groom ,knows,tricks,supplier
3624.0,tt0325710,2003,The Last Samurai,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,Edward Zwick,Tom Cruise,Ken Watanabe,Billy Connolly,Action,Drama,War,an american military advisor embraces the samurai culture he was hired to destroy after he is captured in battle ,samurai,military,embraces
